ลำดับ,อ้างอิงภายใน,ชื่อ,Sales Price,ปริมาณในมือ,กล่องขาออก,ปริมาณพยากรณ์,หน่วยวัด,Activity Exception Decoration
1,HCB0014,โป้วเหลือง (ดิงโก้)(งานสี),0,1,0,1,แกลลอน,
1,HCB0013,โป้วแดง (โจม่า),0,3,0,3,แกลลอน,
1,#FPL1143,โป๊งเหน่งเกเร,135,0,0,0,เล่ม,
542,#FSB0542,โป๊ยเซียน,150,0,0,0,เล่ม,
1,#CHP010,โพรพานอล 100 ซีซี,298,0,0,0,ขวด,
544,#FSB0544,โพรเจกต์ พลอตเด่นเป็นละคร รักหลงโรง,260,0,0,0,เล่ม,
545,#FSB0545,โพรเจกต์ พลอตเด่นเป็นละคร สานรักสลับกาล,320,0,0,0,เล่ม,
546,#FSB0546,โพรเจกต์ พลอตเด่นเป็นละคร หรรษาพาหรรษา,260,0,0,0,เล่ม,
543,#FSB0543,โพรเจกต์ พลอตเด่นเป็นละคร เรือนรักปาฏิหาริย์,280,0,0,0,เล่ม,
1,CB1364,โพลี่ ไบรท์ ฟอยสแตนเลส 15 กรัม (12 ชิ้น /แพ็ค),253,0,0,0,แพ็ค,
1,HBE0003,โพลี่ก้อน 6 D X 32,0,0,0,0,กรัม,
1,HBE0004,โพลี่ก้อน 7 D X 32 (สีขาว),0.1,550000,0,550000,กรัม,
1,HBE0002,โพลี่แผ่น 150 กรัม (60 นิ้ว),0,365.76,0,365.76,เซนติเมตร,
1,HBE0001,โพลี่แผ่น 200 กรัม (1 ม้วน 30 หลา) ,0,68136.17,17100,51036.17,เซนติเมตร,
1,CB993,โพสต์อิท 3M No.654-5PK 5 สี,268,0,0,0,ห่อ,
1,CB197,โพสต์อิท โน้ต 6545UC อัลตร้าไบร์ท 3 x 3 นิ้ว คละสี ,427,0,0,0,ห่อ,
1,CB591,โพสต์อิทสติ๊กเอ็น No.21007 สีเหลือง,249,0,0,0,โหล,
1,CB130,โพสต์อิทเพจมาร์ท #670-5AN ขนาด 1.5 x 5 ซม.,71,4,15,-11,ห่อ,
